발전용어(한글명),발전용어(한문명_영문명),내용
가스연소장치 ,"가스燃燒裝置, Fuel Gas Firing Eq- uipment","가스 연료를 연소시키는 장치로 천연가스, 석유 정제가스, 용광로 가스, 코크스로 가스 등이 있다."
가스연소보일러 ,"가스燃燒보일러, Gas Fired Boiler","연료로써 4.0×10MJ/N㎥정도의 고발열량을 갖는 천연 가스, 석유정제 가스나 4.0×10 MJ/N㎥이하의 발열량이 낮은 고로 가스나 폐가스 등을 연료로 연소시켜 증기를 발생시키는 장치. 가스 연소는 오일 연소와 같이 분무화에 의한 비용이 들지 않고 버너는 가스와 공기의 혼합을 높게 해서 연소실로 보내면 되므로 간단하게 된다."
가스터빈 ,Gas Turbine,"기체를 압축, 가열하여 연속적으로 팽창시켜서 그것이 보유하는 열에너지를 기계적 에너지로 바꾸는 열기관으로 가스터빈은 회전식 내연기관이나 증기터빈에 비하여 단위출력당 크기가 적고 중량이 가벼우며 저품위연료의 사용이 가능하고 운전조작이 간단한 장점이 있다. 그러나 고급내열재로 제작해야하고 열효율이 낮으며 부분 부하성능이 좋지 않고 소음이 심한 것이 단점이며 원칙적으로 압축기, 연소기, 터빈, 제어장치 및 필요에 따라 열교환기 또는 기타의 보조기기로 구성되어 있고 발전, 기관차, 선박, 항공기 등에 사용된다. "
가압기 ,"加壓機, Pressurizer","가압수형 원자로(PWR)의 운전시 고온의 1차 냉각수가 100℃ 이상에서도 증발되지 않도록 냉각재에 압력을 가하여 불포화상태로 유지하는 동시에, 원자로용기 내분 수위를 일정하게 유지하기 위한 세로형 원통용기이다. 정상운전중에는 원자로냉각재계통의 압력을 일정하게 유지하고 과도상태에서는 압력변화를 제어하는 기능을 갖는다. "
가열기제외운전/히터컷운전 ,"加熱器除外運轉/히터컷運轉, Heater Cut Operation","증기터빈 발전소에서 일시적으로 고압 급수가열기를 사용하지 않고 운전하는 방법으로 작동유체의 공급열량대비 열효율은 다소 저하되나 출력이 다소 증가되는 효과가 있다. 계통사고나 발전지장 및 기상조건 급변 등의 긴급사태에 대응하기 위하여 일시적으로 공급력을 증가하는 수단으로 사용되며, 보일러를 최대증발량으로 운전하면서 터빈의 증기제어변은 거의 모두 열린상태에서 고압급수가열기에 공급되는 추기의 일부를 차단하고 그 증기를 터빈에서 팽창시켜 출력을 증가시키는 운전방법이다."
건포화증기 ,"乾飽和蒸氣, Dry Saturated Steam",주어진 압력하에서 포화온도를 유지하면서 습분을 전혀 포함하지 않은 상태의 증기(건도 1인 증기)를 의미한다.
결상/역상전압계전기 ,"缺相/逆相電壓繼電器, Negative ","3상전력 공급 계통에서 불평형운전, 결상운전, 역상운전 또는 1선지락과 같은 불평형 고장시에 발생하는 역상분 전압을 검출하여 동작하는 계전기이다."
경제부하배분장치 ,"經濟負荷配分裝置, Economical Load Dispatcher",발전소를 운용하는 경우 그 발전소가 최고효율로 운전되고 또 각 발전소에 걸리는 부하가 경제적으로 배분되도록 해야한다. 즉 효율이 높은 발전소를 운전하고 각 발전소의 연료비의 합계가 최소가 되게끔 부하가 배분되도록 각 발전소의 부하를 정하는 것이 ELD이며 이의 지령전달장치로서 출력 기준치지시장치(OTM:Order Telemeter)가 있다. 
고장정지율 ,"故障停止率, Forced Outage Ratio",기기의 고장 정지 비율을 평가하는 지수로 일반적으로 일정기간 내에서의 고장정지 시간과 운전시의 합에 대한 고장 정지일수(시간)의 비율을 말한다.
공급예비력 ,"供給豫備力, Supply Capacity","발전설비의 총 시설용량 중에서 예측이 가능한 출력 감소분을 제외한 공급가능용량과 전력수요와의 차이를 말하며, 주로 당일의 수요예측 오차, 발전기의 고장, 계통주파수의 조정 및 기타 순시부하의 변동 등에 대하여 전력을 원활하게 공급할 수 있도록 하기 위하여 보유한다. 공급가능용량은 총 설비용량에서 발전기 출력감소분을 제외한 것으로 출력감소는 주로 계획예방정비, 수력발전의 댐 수위저하에 의한 발전력 감소, 성능저하, 열공급발전기의 열공급 시 출력감소 등 이다.공급예비력(MW) = 공급가능용량(MW) - 전력수요(MW)"
과열도 ,"過熱度, Degree of Superheater","포화증기 상태의 유체가 열을 받아 포화온도 이상으로 가열되는 현상을 과열이라 하고 이 상태의 증기를 과열증기라 하며, 과열증기 온도와 그 압력에서의 포화증기 온도와의 차를 과열도라 한다."
기동정지계획 ,機動停止計劃,발전기의 연료비와 기동비용을 고려해서 거래기간별로 투입될 발전기의 ON/OFF 스케줄을 수립하는 절차로 주로 동적계획법(Dynamic Programming)에 의해 작성된다.
냉각수열교환기 ,"冷却水熱交換機, Cooling Water Heat Exchanger/Cooling Water Cooler","주로 H2 Cooler, 터빈 Oil Cooler 및 각종 베어링 등의 냉각수를 해수로서 냉각시키는 장치이다."
