순서,용어명,내용
1,1차 에너지 (Primary Energy ),어떤 전환이나 변형이 이루어지지 않은 에너지이다
2,1차 에너지 순공급 (Total Primary Energy Requirement Availability ),"에너지 발란스의 주요항목으로서, 대상지역 주체의 1차에너지 순내수와 동일하다."
3,1차 에너지 총소비 (Gross Consumption ),특정지역 주체의 내수와 국제 벙커링 수요를 합한 1차에너지량 (에너지 수출입 및 재고변동 포함)을 말한다.
4,1차 에너지 투입 (Primary Energy Input ),"에너지 이용공정에서의 석탄, 석유, 가스등 1차 에너지의 소비를 말한다."
5,1차 에너지 투입기준 (Primary Energy Input Balance ),최종수요를 충족시키기위해 소요되는 모든 에너지원의 양을(화석연료 등) 특정 1차에너지의 양으로 등가전환시켜 표시하는 종합에너지발란스의 한 형태. 이러한 1차에너지로서 등가 전환은 이 발란스표에 계상되는 모든 항목에 적용된다.
6,1차에너지 총내수 (Gross Inland Consumption ),
7,2차 에너지 투입 (Primary Energy Input ),에너지 이용공정에서의 전기등 2차에너지의 소비이다.
8,2차 열매체 (Secondary Heat Transfer Fluid ),열저장시스템으로써의 또는 열저장 시스템으로부터의 열전달을 주도하는 중간 매개체이다.
9,3D 스캐너(3D Scanner),3D 스캐너란 대상물체의 형상정보를 획득 디지털화 할 수 있는 기계카메라처럼 원뿔형태의 시야를 가지고 있고 카메라가 피사체 정보를 얻는 것 처럼 3차원 정보를 취득 3차원 스캐너는 물체의 깊이 정보까지도 취득합니다. 기하학정보가 샘플링된 점군(Point Cloud)을 형성하는 것입니다.
10,"3D 프린팅(Additive Manufacturing,AM)",3차원 디지털 형상 데이터를 기반으로 2차원 단면 데이터를 생성하고 소재를 얇은 층으로 형성하여 적층 방식으로 제품을 제조하는 기술이다. 3D 프린팅의 정식 명칭은 Additive Manufacturing이다.
11,"3차원 빔 형성(Three-Dimensional Beamforming,3D-BF)",배열 안테나를 수평과 수직으로 배치하여 3차원(3D) 빔(beam)을 형성하는 기법. 3D 빔 형성 기법은 원하는 방향으로 예리한 빔을 만들어 안테나 이득은 물론 혼신을 최소화하고 수평과 수직 방향의 빔 형성이 가능하기 때문에 아파트나 고층 건물에 있는 이용자에게도 별도의 기지국 설치 없이 서비스가 가능하다.
12,"3차원 측정기(Coordinate Measuring Machine,CMM)","CMM. 이는 Coordinate Measuring Machine의 약자로 좌표측정기, 즉 3차원 측정기를 뜻한다. 3차원 측정기는 X축을 좌우 방향으로, Y축을 전후 방향으로, Z축을 상하 방향으로 하여 공작물의 치수와 형상을 측정한다. 측정은 프로브가 측정면에 직접 접촉하면서 데이터를 처리하는 것으로 이루어지며, 측정점이 많고 복잡한 형상을 측정할 때 주로 쓰인다"
13,40/100 기가비트 이더넷(40/100 Gigabit Ethernet),"이더넷상에서초당40 또는100 기가비트의 데이터속도를 제공하는미국전기전자학회(IEEE) 이더넷규격(IEEE 802.3ba-2010).서비스거리에 따라 수미터를 지원하는40G/100GBASE-CR4, 40G/100GBASE-KR4, 100GBASE-KP4, 수백미터를 지원하는40G/10GBASE-SR4, 100GBASE-SR10, 10 킬로미터(km)를 지원하는40G/100GBASE-LR4, 40 킬로미터를 지원하는40G/100GBASE-ER4 등 다양한 규격이 존재한다. 주로40 GbE는4 채널×10 기가비피에스(Gbps), 100 GbE는4채널×25Gbps 형태로 데이터를 전송한다. 전송거리가 늘면서 근거리통신망(LAN: Local Area Network)은 물론 도시권통신망(MAN: Metropolitan Area Network), 광역통신망(WAN: Wide Area Network) 및 무선가입자망으로 영역이 확장되고산업, 항공, 자동차, 국방, 방송 등 다양한 분야에 적용되고 있다."
14,"A/H입구가스온도(A/H入口가스溫度, Entering Gas Temperature)",공기예열기 입구의 연소가스 온도를 말하며 보일러에서 연료의 연소로 발생된 가스가 작동유체(물 또는 공기)에 열을 전달한 후 배기과정에서 연소용 공기를 예열하기 위하여 공기예열기에 들어갈 때의 가스온도이다. 입구가스온도의 변화에 공기예열기 출구가스 온도는 공기예열기 온도효율에 비례하여 변화하며 입구가스가 저하될수록 배기가스의 보유열량이 저하되므로 보일러 효율은 상승된다.
15,"A/H입구공기온도(A/H入口空氣溫度, Entering Air Temperature)",공기예열기 입구온도를 말하며 증기식 공기예열기를 사용하는 보일러에서는 증기식 공기예열기 출구공기의 온도를 말함. 일반적으로 입구공기온도가 변화하면 출구가스 온도는 공기예열기의 온도효율에 비례하여 변화하므로 입구공기의 온도가 높을수록 보일러 효율은 상승하는 효과가 있다.
16,API Number,"원유나 석유제품의 비중을 나타내기 위한 지표로서, 미국석유협회(API : American Petroleum Institute)가 제정한 화학적 석유비중 표시방법. 일반적으로 탄화수소가 많을수록 비중이 커지는데, 보통 API 34도 이상의 원유를 경질원유, API 30-34도의 원유를 중질원유, API 30도 이하의 원유를 중질원유로 분류함."
17,"Advanced Encryption Standard,AES","미국 표준 블록 암호였던 DES의 안전성에 문제가 제기됨에 따라 2000년 새로운 미국 표준 블록 암호로 채택된 128비트 블록 암호이다. 이 알고리즘은 128/192/256 비트 키 길이를 제공하고, 라운드 수는 키 길이에 따라 각각 10, 12, 14이다. AES는 미국 표준 블록 암호라는 이름에 걸맞게 전세계 암호 학자들로부터 많은 관심을 받고 있다."
18,"Application Programming Interface,API",다른 시스템이나 소프트웨어들이 서로 명령과 결과를 주고받을 수 있도록 상대방의 형식에 맞게 변형시켜주는 일종의 소프트웨어들 사이의 통역 프로그램
19,BOT (Build Own Transfer),"민간사업자가 사회간접설비의 일부를 설계, 소요자금조달, 건설하고 약정기간 동안 운영 및 (전력) 판매를 통하여 투자 원리금과 일정 수익을 확보한 후 공공부문에 소유권을 이양하는 사업형태로, 통상 Take or Pay 계약을 체결하여 판매시장을 확보하며, 투자의 타당성 여부는 미래의 현금수익의 흐름에 의존하게 된다. 따라서 일정기간의 사업을 보장하는 진출국의 양허협정과 장기적 수입을 보장하는 장기전력수급계약이 필요하다.한편, BOT와 BOO의 차이점은 사업 및 운영이 허가된 계약기간이 만료된 후 사업상 권리 및 잔여 재산의 소유권을 사업승인국가에 양도하느냐아니면 사업권자가 계속 갖느냐의 차이이다."
