id,Time,Is_CH,who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy,Attack type
901025,2803,1,901100,0.0,1,25,0,0,0,0,0,0,0,0,120.5,0.0,0.03215,Grayhole
703045,2503,1,703045,0.0,1,25,0,0,0,0,0,0,0,0,120.567,0.0,0.04567,Grayhole
305025,2603,1,305025,0.0,1,25,0,0,0,0,0,0,0,0,130.25,0.0,0.0352,Grayhole
903045,3203,1,903045,0.0,1,24,0,0,0,0,0,0,0,0,0.0,0.0,0.02456,Grayhole
407025,2303,1,407025,0.0,1,25,0,0,0,0,0,0,0,0,140.234,0.0,0.02543,Grayhole
304075,2203,1,304100,0.0,1,24,0,0,0,0,0,0,0,0,130.543,0.0,0.02543,Grayhole
503025,1803,1,503025,0.0,1,24,0,0,0,0,0,0,0,0,100.5,0.0,0.03215,Grayhole
605032,2203,1,605032,0.0,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0.01823,Grayhole
205034,1503,1,205034,0.0,1,25,0,0,0,0,0,0,0,0,150.0,0.0,0.025,Grayhole
305022,2203,1,305100,0.0,1,25,0,0,0,0,0,0,0,0,100.5,0.0,0.0321,Grayhole
907023,2753,1,907023,0.0,1,26,0,0,0,0,0,0,0,0,145.234,0.0,0.03521,Grayhole
101025,1803,1,101100,0.0,1,25,0,0,0,0,0,0,0,0,150.234,0.0,0.03456,Grayhole
505072,2203,1,505072,0.0,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0.02753,Grayhole
602055,2853,1,602055,0.0,1,24,0,0,0,0,0,0,0,0,120.567,0.0,0.03215,Grayhole
101025,2503,1,101025,0.0,1,25,0,0,0,0,0,0,0,0,150.234,0.0,0.02875,Grayhole
605032,2703,1,605032,0.0,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0.02895,Grayhole
804035,2353,1,804035,0.0,1,24,0,0,0,0,0,0,0,0,150.234,0.0,0.03456,Grayhole
502050,2203,1,502100,0.0,1,23,0,0,0,0,0,0,0,0,150.234,0.0,0.03215,Grayhole
101050,2503,1,101050,0.0,1,25,0,0,0,0,0,0,0,0,120.0,0.0,0.045,Grayhole
805032,3103,1,805100,0.0,1,25,0,0,0,0,0,0,0,0,150.234,0.0,0.03456,Grayhole
901005,2203,1,901005,0.0,1,24,0,0,0,0,0,0,0,0,140.234,0.0,0.03521,Grayhole
201055,2203,1,201100,0.0,1,24,0,0,0,0,0,0,0,0,145.234,0.0,0.02567,Grayhole
302015,2203,1,302100,0.0,1,27,0,0,0,0,0,0,0,0,140.567,0.0,0.03456,Grayhole
304015,2553,1,304015,0.0,1,24,0,0,0,0,0,0,0,0,150.123,0.0,0.03521,Grayhole
303025,2003,1,303100,0.0,1,20,0,0,1,0,0,0,0,0,150.234,0.0,0.03215,Grayhole
302045,2303,1,302045,0.0,1,20,0,0,1,0,0,0,0,0,0.0,0.0,0.0045,Blackhole
907033,3303,1,907033,0.0,1,26,0,0,0,0,0,0,0,0,0.0,0.0,0.00448,Blackhole
905032,2503,1,905032,0.0,1,25,0,0,1,0,0,0,0,0,0.0,0.0,0.00448,Blackhole
906072,2503,1,906072,0.0,1,23,0,0,0,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
101001,3003,1,101001,0.0,1,5,0,20,1,0,0,0,1000,0,0.0,0.0,0.00723,Blackhole
702035,2753,1,702035,0.0,1,22,0,0,1,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
303067,2953,1,303067,0.0,1,24,0,0,0,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
703025,2853,1,703025,0.0,1,23,0,0,0,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
501035,2603,1,501035,0.0,1,20,0,0,1,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
803025,2503,1,803025,0.0,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0.0045,Blackhole
301025,2203,1,301100,0.0,1,23,0,0,0,0,0,0,0,0,0.0,0.0,0.00452,Blackhole
1001025,3003,1,1001100,0.0,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0.00447,Blackhole
102050,3003,1,102050,0.0,1,26,0,0,0,0,0,0,0,0,0.0,0.0,0.00446,Blackhole
